locus_tag	ftype	length_bp	gene	EC_number	COG	product
HNHBCBPK_00366	CDS	966		3.4.16.4		D-alanyl-D-alanine carboxypeptidase
HNHBCBPK_00367	CDS	732				hypothetical protein
HNHBCBPK_00368	CDS	408				hypothetical protein
HNHBCBPK_00369	CDS	807				hypothetical protein
HNHBCBPK_00370	CDS	912	trxB	1.8.1.9		Thioredoxin reductase
HNHBCBPK_00371	CDS	228				hypothetical protein
HNHBCBPK_00372	CDS	762	tcyN	3.6.3.-	COG1126	L-cystine import ATP-binding protein TcyN
HNHBCBPK_00373	CDS	810	yxeN			putative amino-acid permease protein YxeN
HNHBCBPK_00374	CDS	864	yxeM		COG0834	putative amino-acid-binding protein YxeM
HNHBCBPK_00375	CDS	1341	cshB	3.6.4.13	COG0513	DEAD-box ATP-dependent RNA helicase CshB
HNHBCBPK_00376	CDS	612	sodA	1.15.1.1		Superoxide dismutase [Mn]
HNHBCBPK_00377	CDS	852	tcyK		COG0834	L-cystine-binding protein TcyK
HNHBCBPK_00378	CDS	1023	yqeN		COG1466	putative protein YqeN
HNHBCBPK_00379	CDS	1323	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
HNHBCBPK_00380	CDS	666	arlR		COG0745	Response regulator ArlR
HNHBCBPK_00381	CDS	1878	mdoB	2.7.8.20		Phosphoglycerol transferase I
HNHBCBPK_00382	CDS	996	ccpA		COG1609	Catabolite control protein A
HNHBCBPK_00383	CDS	1092	pepQ	3.4.13.9	COG0006	Xaa-Pro dipeptidase
HNHBCBPK_00384	CDS	195				hypothetical protein
HNHBCBPK_00385	CDS	255				hypothetical protein
HNHBCBPK_00386	CDS	597				hypothetical protein
HNHBCBPK_00387	CDS	738				hypothetical protein
HNHBCBPK_00388	CDS	441			COG3279	putative HTH-type transcriptional regulator
HNHBCBPK_00389	CDS	1848	glsA	3.5.1.2		Glutaminase
HNHBCBPK_00390	CDS	720				hypothetical protein
HNHBCBPK_00391	CDS	744				hypothetical protein
HNHBCBPK_00392	CDS	813				hypothetical protein
HNHBCBPK_00393	CDS	861				hypothetical protein
HNHBCBPK_00394	CDS	465	smpB		COG0691	SsrA-binding protein
HNHBCBPK_00395	CDS	2373	rnr	3.1.13.1	COG0557	Ribonuclease R
HNHBCBPK_00396	CDS	237	secG		COG1314	putative protein-export membrane protein SecG
HNHBCBPK_00397	CDS	1728	rnj2	3.1.-.-		Ribonuclease J 2
HNHBCBPK_00398	CDS	447				hypothetical protein
HNHBCBPK_00399	CDS	882	dapA	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
HNHBCBPK_00400	CDS	1086	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
HNHBCBPK_00401	CDS	639				hypothetical protein
HNHBCBPK_00402	CDS	372				hypothetical protein
HNHBCBPK_00403	CDS	465				hypothetical protein
HNHBCBPK_00404	CDS	291	rpmA			50S ribosomal protein L27
HNHBCBPK_00405	CDS	318				hypothetical protein
HNHBCBPK_00406	CDS	312	rplU		COG0261	50S ribosomal protein L21
HNHBCBPK_00407	CDS	375				hypothetical protein
HNHBCBPK_00408	CDS	966	pdhB_1	1.2.4.1	COG0022	Pyruvate dehydrogenase E1 component subunit beta
HNHBCBPK_00409	CDS	960	acoA	1.1.1.-	COG1071	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha
HNHBCBPK_00410	CDS	1305				hypothetical protein
HNHBCBPK_00411	CDS	813		3.1.3.-		Putative phosphatase
HNHBCBPK_00412	CDS	573				hypothetical protein
HNHBCBPK_00413	CDS	1221	femX_1	2.3.2.16		Lipid II:glycine glycyltransferase
HNHBCBPK_00414	CDS	180				hypothetical protein
HNHBCBPK_00415	CDS	1002	dagK	2.7.1.107	COG1597	Diacylglycerol kinase
HNHBCBPK_00416	CDS	1974	ligA	6.5.1.2		DNA ligase
HNHBCBPK_00417	CDS	396				hypothetical protein
HNHBCBPK_00418	CDS	1308	yeeO		COG0534	putative FMN/FAD exporter YeeO
HNHBCBPK_00419	CDS	768				hypothetical protein
HNHBCBPK_00420	tRNA	76				tRNA-Asn(gtt)
HNHBCBPK_00421	CDS	1140	msmX	7.5.2.-	COG3839	Oligosaccharides import ATP-binding protein MsmX
HNHBCBPK_00422	CDS	1029				hypothetical protein
HNHBCBPK_00423	CDS	426			COG0789	putative HTH-type transcriptional regulator
HNHBCBPK_00424	CDS	1032				hypothetical protein
HNHBCBPK_00425	CDS	369	gloA	4.4.1.5	COG0346	Lactoylglutathione lyase
HNHBCBPK_00426	CDS	642		3.-.-.-		putative metallo-hydrolase
HNHBCBPK_00427	CDS	2376	dinG	3.1.-.-		3'-5' exonuclease DinG
HNHBCBPK_00428	CDS	468				hypothetical protein
HNHBCBPK_00429	CDS	1188	aspB	2.6.1.14	COG0436	Asparagine--oxo-acid transaminase
HNHBCBPK_00430	CDS	1344	asnS	6.1.1.22	COG0017	Asparagine--tRNA ligase
HNHBCBPK_00431	CDS	378	yabJ	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
HNHBCBPK_00432	CDS	552	hpf		COG1544	Ribosome hibernation promotion factor
HNHBCBPK_00433	CDS	1305	eno	4.2.1.11	COG0148	Enolase
HNHBCBPK_00434	CDS	579				hypothetical protein
HNHBCBPK_00435	CDS	504				hypothetical protein
HNHBCBPK_00436	CDS	2127	feoB		COG0370	Fe(2+) transporter FeoB
HNHBCBPK_00437	CDS	141				hypothetical protein
HNHBCBPK_00438	CDS	1377	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
HNHBCBPK_00439	CDS	456				hypothetical protein
HNHBCBPK_00440	CDS	528				hypothetical protein
HNHBCBPK_00441	CDS	759				hypothetical protein
HNHBCBPK_00442	CDS	477				hypothetical protein
HNHBCBPK_00443	CDS	675	rpiA	5.3.1.6	COG0120	Ribose-5-phosphate isomerase A
HNHBCBPK_00444	CDS	753	focB		COG2116	putative formate transporter 2
HNHBCBPK_00445	CDS	447				hypothetical protein
HNHBCBPK_00446	CDS	882	mreC		COG1792	Cell shape-determining protein MreC
HNHBCBPK_00447	CDS	516				hypothetical protein
HNHBCBPK_00448	CDS	1437				hypothetical protein
HNHBCBPK_00449	CDS	1836	kimA		COG0531	Potassium transporter KimA
HNHBCBPK_00450	CDS	1209	deoB	5.4.2.7	COG1015	Phosphopentomutase
HNHBCBPK_00451	CDS	816	punA	2.4.2.1	COG0005	Purine nucleoside phosphorylase 1
HNHBCBPK_00452	CDS	711	deoD_1	2.4.2.1	COG0813	Purine nucleoside phosphorylase DeoD-type
HNHBCBPK_00453	CDS	510				hypothetical protein
HNHBCBPK_00454	CDS	915				hypothetical protein
HNHBCBPK_00455	CDS	1671	fhs1	6.3.4.3		Formate--tetrahydrofolate ligase 1
HNHBCBPK_00456	CDS	891				hypothetical protein
HNHBCBPK_00457	CDS	567				hypothetical protein
HNHBCBPK_00458	CDS	312				hypothetical protein
HNHBCBPK_00459	CDS	1092				hypothetical protein
HNHBCBPK_00460	CDS	1188				hypothetical protein
HNHBCBPK_00461	CDS	5091				hypothetical protein
HNHBCBPK_00462	CDS	486				hypothetical protein
HNHBCBPK_00463	CDS	654	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU 
HNHBCBPK_00464	CDS	759	pstB3_1	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB 3
HNHBCBPK_00465	CDS	804	pstB3_2	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB 3
HNHBCBPK_00466	CDS	891				hypothetical protein
HNHBCBPK_00467	CDS	924	pstC1		COG0573	Phosphate transport system permease protein PstC 1
HNHBCBPK_00468	CDS	861	pstS1_1		COG0226	Phosphate-binding protein PstS 1
HNHBCBPK_00469	CDS	894	pstS1_2		COG0226	Phosphate-binding protein PstS 1
HNHBCBPK_00470	CDS	696	phoP		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
HNHBCBPK_00471	CDS	1569	phoR	2.7.13.3	COG0642	Alkaline phosphatase synthesis sensor protein PhoR
HNHBCBPK_00472	CDS	426	atpC		COG0355	ATP synthase epsilon chain
HNHBCBPK_00473	CDS	1407	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
HNHBCBPK_00474	CDS	876	atpG		COG0224	ATP synthase gamma chain
HNHBCBPK_00475	CDS	1503	atpA	7.1.2.2	COG0056	ATP synthase subunit alpha
HNHBCBPK_00476	CDS	528	atpH_1		COG0712	ATP synthase subunit delta
HNHBCBPK_00477	CDS	510	atpF		COG0711	ATP synthase subunit b
HNHBCBPK_00478	CDS	720	atpB		COG0356	ATP synthase subunit a
HNHBCBPK_00479	CDS	216	atpH_2			ATP synthase subunit c
HNHBCBPK_00480	CDS	2223	comEC		COG0658	ComE operon protein 3
HNHBCBPK_00481	CDS	687	comEA		COG1555	ComE operon protein 1
HNHBCBPK_00482	CDS	1227	yhaP		COG1668	putative protein YhaP
HNHBCBPK_00483	CDS	900		7.6.2.-	COG1131	Multidrug efflux system ATP-binding protein
HNHBCBPK_00484	CDS	1827	dnaK		COG0443	Chaperone protein DnaK
HNHBCBPK_00485	CDS	525	grpE		COG0576	Protein GrpE
HNHBCBPK_00486	CDS	1038	hrcA		COG1420	Heat-inducible transcription repressor HrcA
HNHBCBPK_00487	CDS	603	lytG	3.2.1.-	COG1705	Exo-glucosaminidase LytG
HNHBCBPK_00488	CDS	786	vanYB	3.4.17.-	COG1876	D-alanyl-D-alanine carboxypeptidase
HNHBCBPK_00489	CDS	693	gpmA_1	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
HNHBCBPK_00490	CDS	612				hypothetical protein
HNHBCBPK_00491	CDS	981				hypothetical protein
HNHBCBPK_00492	CDS	1251	glyA	2.1.2.1		Serine hydroxymethyltransferase
HNHBCBPK_00493	CDS	609	ywlC	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
HNHBCBPK_00494	CDS	834	prmC	2.1.1.297		Release factor glutamine methyltransferase
HNHBCBPK_00495	CDS	1074	prfA		COG0216	Peptide chain release factor 1
HNHBCBPK_00496	CDS	591	tdk	2.7.1.21	COG1435	Thymidine kinase
HNHBCBPK_00497	CDS	348				hypothetical protein
HNHBCBPK_00498	CDS	183	ywhB	5.3.2.6	COG1942	2-hydroxymuconate tautomerase
HNHBCBPK_00499	CDS	1155	gerN		COG0475	Na(+)/H(+)-K(+) antiporter GerN
HNHBCBPK_00500	CDS	705	coaBC_1		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
HNHBCBPK_00501	CDS	552	coaBC_2		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
HNHBCBPK_00502	CDS	591	panT		COG4684	Pantothenic acid transporter PanT
HNHBCBPK_00503	CDS	1719	pgcA	5.4.2.2		Phosphoglucomutase
HNHBCBPK_00504	CDS	126				hypothetical protein
HNHBCBPK_00505	CDS	330	trxA		COG0526	Thioredoxin
HNHBCBPK_00506	CDS	2337	mutS2	3.1.-.-		Endonuclease MutS2
HNHBCBPK_00507	CDS	564				hypothetical protein
HNHBCBPK_00508	CDS	894	rnhC	3.1.26.4	COG1039	Ribonuclease HIII
HNHBCBPK_00509	CDS	591	spsB_3	3.4.21.89	COG0681	Signal peptidase IB
HNHBCBPK_00510	CDS	3939				hypothetical protein
HNHBCBPK_00511	CDS	366				hypothetical protein
HNHBCBPK_00512	CDS	1470	dinB_2	2.7.7.7		DNA polymerase IV
HNHBCBPK_00513	CDS	1425	gnd	1.1.1.44	COG0362	6-phosphogluconate dehydrogenase, decarboxylating
HNHBCBPK_00514	CDS	534				hypothetical protein
HNHBCBPK_00515	CDS	435		2.3.1.82		Aminoglycoside N(6')-acetyltransferase type 1
HNHBCBPK_00516	CDS	876	gmuE	2.7.1.4	COG1940	Putative fructokinase
HNHBCBPK_00517	CDS	1911				hypothetical protein
HNHBCBPK_00518	CDS	1425	scrB	3.2.1.26		Sucrose-6-phosphate hydrolase
HNHBCBPK_00519	CDS	939	rbsR		COG1609	Ribose operon repressor
HNHBCBPK_00520	CDS	603	leuD	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit
HNHBCBPK_00521	CDS	1371	leuC	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
HNHBCBPK_00522	CDS	1038	leuB	1.1.1.85	COG0473	3-isopropylmalate dehydrogenase
HNHBCBPK_00523	CDS	1521	leuA	2.3.3.13		2-isopropylmalate synthase
HNHBCBPK_00524	CDS	1494	lysS	6.1.1.6	COG1190	Lysine--tRNA ligase
HNHBCBPK_00525	CDS	2361	pheT	6.1.1.20		Phenylalanine--tRNA ligase beta subunit
HNHBCBPK_00526	CDS	1038	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
HNHBCBPK_00527	CDS	978	malR		COG1609	HTH-type transcriptional regulator MalR
HNHBCBPK_00528	CDS	663	pgmB	5.4.2.6	COG0637	Beta-phosphoglucomutase
HNHBCBPK_00529	CDS	2262	malP	2.4.1.8		Maltose phosphorylase
HNHBCBPK_00530	CDS	1644	malL	3.2.1.10	COG0366	Oligo-1,6-glucosidase
HNHBCBPK_00531	CDS	612	maa_1	2.3.1.79	COG0110	Maltose O-acetyltransferase
HNHBCBPK_00532	CDS	1605	dexB	3.2.1.70	COG0366	Glucan 1,6-alpha-glucosidase
HNHBCBPK_00533	CDS	327				hypothetical protein
HNHBCBPK_00534	CDS	513				hypothetical protein
HNHBCBPK_00535	CDS	474				hypothetical protein
HNHBCBPK_00536	CDS	207				hypothetical protein
HNHBCBPK_00537	CDS	915	oppF_2		COG4608	Oligopeptide transport ATP-binding protein OppF
HNHBCBPK_00538	CDS	1053	oppD		COG0444	Oligopeptide transport ATP-binding protein OppD
HNHBCBPK_00539	CDS	921	oppC		COG1173	Oligopeptide transport system permease protein OppC
HNHBCBPK_00540	CDS	1500				hypothetical protein
HNHBCBPK_00541	CDS	1980	sarA		COG4166	Oligopeptide-binding protein SarA
HNHBCBPK_00542	CDS	1743	bbmA	3.2.1.-	COG0366	Intracellular maltogenic amylase
HNHBCBPK_00543	CDS	300			COG0718	Nucleoid-associated protein
HNHBCBPK_00544	CDS	873	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
HNHBCBPK_00545	CDS	315	yabA		COG4467	Initiation-control protein YabA
HNHBCBPK_00546	CDS	798				hypothetical protein
HNHBCBPK_00547	CDS	891				hypothetical protein
HNHBCBPK_00548	CDS	642	tmk	2.7.4.9	COG0125	Thymidylate kinase
HNHBCBPK_00549	CDS	663				hypothetical protein
HNHBCBPK_00550	CDS	858	btuD_4	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
HNHBCBPK_00551	CDS	387	ytrA_1		COG1725	HTH-type transcriptional repressor YtrA
HNHBCBPK_00552	CDS	2376	ftsK		COG1674	DNA translocase FtsK
HNHBCBPK_00553	CDS	1935	oatA	2.3.1.-		O-acetyltransferase OatA
HNHBCBPK_00554	CDS	510				hypothetical protein
HNHBCBPK_00555	CDS	2625	polA	2.7.7.7		DNA polymerase I
HNHBCBPK_00556	CDS	441	yccU		COG1832	putative protein YccU
HNHBCBPK_00557	CDS	393				hypothetical protein
HNHBCBPK_00558	CDS	939	comGA		COG2804	ComG operon protein 1
HNHBCBPK_00559	CDS	1002				hypothetical protein
HNHBCBPK_00560	CDS	315				hypothetical protein
HNHBCBPK_00561	CDS	435				hypothetical protein
HNHBCBPK_00562	CDS	294				hypothetical protein
HNHBCBPK_00563	CDS	438				hypothetical protein
HNHBCBPK_00564	CDS	309				hypothetical protein
HNHBCBPK_00565	CDS	849	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
HNHBCBPK_00566	CDS	936	znuA		COG0803	High-affinity zinc uptake system binding-protein ZnuA
HNHBCBPK_00567	CDS	708	znuC	7.2.2.-	COG1121	High-affinity zinc uptake system ATP-binding protein ZnuC
HNHBCBPK_00568	CDS	813	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
HNHBCBPK_00569	CDS	867	rluD_2	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
HNHBCBPK_00570	CDS	2265	mtgA_1	2.4.1.129		Biosynthetic peptidoglycan transglycosylase
HNHBCBPK_00571	CDS	150	rpmG3		COG0267	50S ribosomal protein L33 3
HNHBCBPK_00572	CDS	183				hypothetical protein
HNHBCBPK_00573	CDS	555	nusG			Transcription termination/antitermination protein NusG
HNHBCBPK_00574	CDS	1491	thrC	4.2.3.1	COG0498	Threonine synthase
HNHBCBPK_00575	CDS	525				hypothetical protein
HNHBCBPK_00576	CDS	465				hypothetical protein
HNHBCBPK_00577	CDS	210				hypothetical protein
HNHBCBPK_00578	CDS	309	rpsJ		COG0051	30S ribosomal protein S10
HNHBCBPK_00579	CDS	627	rplC		COG0087	50S ribosomal protein L3
HNHBCBPK_00580	CDS	627	rplD		COG0088	50S ribosomal protein L4
HNHBCBPK_00581	CDS	288	rplW			50S ribosomal protein L23
HNHBCBPK_00582	CDS	834	rplB		COG0090	50S ribosomal protein L2
HNHBCBPK_00583	CDS	279	rpsS		COG0185	30S ribosomal protein S19
HNHBCBPK_00584	CDS	345	rplV		COG0091	50S ribosomal protein L22
HNHBCBPK_00585	CDS	654	rpsC		COG0092	30S ribosomal protein S3
HNHBCBPK_00586	CDS	426	rplP		COG0197	50S ribosomal protein L16
HNHBCBPK_00587	CDS	207	rpmC		COG0255	50S ribosomal protein L29
HNHBCBPK_00588	CDS	264	rpsQ		COG0186	30S ribosomal protein S17
HNHBCBPK_00589	CDS	369	rplN		COG0093	50S ribosomal protein L14
HNHBCBPK_00590	CDS	306	rplX		COG0198	50S ribosomal protein L24
HNHBCBPK_00591	CDS	543	rplE		COG0094	50S ribosomal protein L5
HNHBCBPK_00592	CDS	186	rpsZ		COG0199	30S ribosomal protein S14 type Z
HNHBCBPK_00593	CDS	411	rpsH		COG0096	30S ribosomal protein S8
HNHBCBPK_00594	CDS	537	rplF		COG0097	50S ribosomal protein L6
HNHBCBPK_00595	CDS	348	rplR		COG0256	50S ribosomal protein L18
HNHBCBPK_00596	CDS	495	rpsE		COG0098	30S ribosomal protein S5
HNHBCBPK_00597	CDS	180	rpmD		COG1841	50S ribosomal protein L30
HNHBCBPK_00598	CDS	453	rplO		COG0200	50S ribosomal protein L15
HNHBCBPK_00599	CDS	1314	secY			Protein translocase subunit SecY
HNHBCBPK_00600	CDS	648	adk	2.7.4.3	COG0563	Adenylate kinase
HNHBCBPK_00601	CDS	219	infA		COG0361	Translation initiation factor IF-1
HNHBCBPK_00602	CDS	117	rpmJ		COG0257	50S ribosomal protein L36
HNHBCBPK_00603	CDS	366	rpsM		COG0099	30S ribosomal protein S13
HNHBCBPK_00604	CDS	384	rpsK			30S ribosomal protein S11
HNHBCBPK_00605	CDS	939	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
HNHBCBPK_00606	CDS	381	rplQ		COG0203	50S ribosomal protein L17
HNHBCBPK_00607	CDS	1380				hypothetical protein
HNHBCBPK_00608	CDS	537				hypothetical protein
HNHBCBPK_00609	CDS	1716	ilvD	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
HNHBCBPK_00610	CDS	1710	ilvB	2.2.1.6	COG0028	Acetolactate synthase large subunit
HNHBCBPK_00611	CDS	264				hypothetical protein
HNHBCBPK_00612	CDS	1347	brnQ		COG1114	Branched-chain amino acid transport system 2 carrier protein
HNHBCBPK_00613	CDS	327				hypothetical protein
HNHBCBPK_00614	CDS	267				hypothetical protein
HNHBCBPK_00615	CDS	1350				hypothetical protein
HNHBCBPK_00616	CDS	1023	ilvC	1.1.1.86	COG0059	Ketol-acid reductoisomerase (NADP(+))
HNHBCBPK_00617	CDS	1254	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
HNHBCBPK_00618	CDS	777	hisK	3.1.3.15	COG1387	Histidinol-phosphatase
HNHBCBPK_00619	CDS	498	ogt	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase
HNHBCBPK_00620	CDS	540				hypothetical protein
HNHBCBPK_00621	tRNA	73				tRNA-Thr(ggt)
HNHBCBPK_00622	CDS	897	glcU_1		COG4975	Glucose uptake protein GlcU
HNHBCBPK_00623	CDS	1014	adhA	1.1.1.1		Alcohol dehydrogenase 1
HNHBCBPK_00624	CDS	582	xpt	2.4.2.22	COG0503	Xanthine phosphoribosyltransferase
HNHBCBPK_00625	CDS	1272	pucK		COG2233	Uric acid permease PucK
HNHBCBPK_00626	CDS	1086	metI	2.5.1.-	COG0626	Cystathionine gamma-synthase/O-acetylhomoserine (thiol)-lyase
HNHBCBPK_00627	CDS	1167	patB	4.4.1.13	COG1168	Cystathionine beta-lyase PatB
HNHBCBPK_00628	CDS	630	upp	2.4.2.9		Uracil phosphoribosyltransferase
HNHBCBPK_00629	CDS	480				hypothetical protein
HNHBCBPK_00630	CDS	414				hypothetical protein
HNHBCBPK_00631	CDS	1566	cpdB	3.1.3.6	COG0737	2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase
HNHBCBPK_00632	CDS	207				hypothetical protein
HNHBCBPK_00633	CDS	618				hypothetical protein
HNHBCBPK_00634	CDS	804				hypothetical protein
HNHBCBPK_00635	CDS	870				hypothetical protein
HNHBCBPK_00636	CDS	672				hypothetical protein
HNHBCBPK_00637	CDS	171				hypothetical protein
HNHBCBPK_00638	CDS	873				hypothetical protein
HNHBCBPK_00639	CDS	1314				hypothetical protein
HNHBCBPK_00640	CDS	348				hypothetical protein
HNHBCBPK_00641	CDS	774				hypothetical protein
HNHBCBPK_00642	rRNA	111				5S ribosomal RNA
HNHBCBPK_00643	rRNA	2899				23S ribosomal RNA
HNHBCBPK_00644	tRNA	75				tRNA-Ala(tgc)
HNHBCBPK_00645	rRNA	1545				16S ribosomal RNA
HNHBCBPK_00646	CDS	873	rfbA	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase 1
HNHBCBPK_00647	CDS	594	rfbC_1	5.1.3.-		Protein RmlC 
HNHBCBPK_00648	CDS	1038	rmlB	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase
HNHBCBPK_00649	tRNA	76				tRNA-Met(cat)
HNHBCBPK_00650	tRNA	90				tRNA-Ser(tga)
HNHBCBPK_00651	tRNA	74				tRNA-Glu(ttc)
HNHBCBPK_00652	CDS	993	galE	5.1.3.2	COG1087	UDP-glucose 4-epimerase
HNHBCBPK_00653	CDS	1131	glf	5.4.99.9	COG0562	UDP-galactopyranose mutase
HNHBCBPK_00654	CDS	585				hypothetical protein
HNHBCBPK_00655	CDS	777				hypothetical protein
HNHBCBPK_00656	CDS	246				hypothetical protein
HNHBCBPK_00657	CDS	1551	gtfA	2.4.1.-		UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit
HNHBCBPK_00658	CDS	426				hypothetical protein
HNHBCBPK_00659	tRNA	76				tRNA-Asn(gtt)
HNHBCBPK_00660	rRNA	111				5S ribosomal RNA
HNHBCBPK_00661	CDS	999	dgs	2.4.1.208	COG0438	Processive diacylglycerol alpha-glucosyltransferase
HNHBCBPK_00662	CDS	1335		2.4.1.337	COG0438	Alpha-monoglucosyldiacylglycerol synthase
HNHBCBPK_00663	CDS	225				hypothetical protein
HNHBCBPK_00664	CDS	306				hypothetical protein
HNHBCBPK_00665	CDS	753	yfiC	2.1.1.223		tRNA1(Val) (adenine(37)-N6)-methyltransferase
HNHBCBPK_00666	CDS	627	plsC	2.3.1.-	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
HNHBCBPK_00667	CDS	1176	dnaJ		COG0484	Chaperone protein DnaJ
HNHBCBPK_00668	CDS	528	ppaX_1	3.6.1.1		Pyrophosphatase PpaX
HNHBCBPK_00669	CDS	579				hypothetical protein
HNHBCBPK_00670	CDS	696	bcrA_1			Bacitracin transport ATP-binding protein BcrA
HNHBCBPK_00671	CDS	753				hypothetical protein
HNHBCBPK_00672	CDS	732				hypothetical protein
HNHBCBPK_00673	CDS	669	ctrA			Cell cycle response regulator CtrA
HNHBCBPK_00674	CDS	1356	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
HNHBCBPK_00675	CDS	1425	norG		COG1167	HTH-type transcriptional regulator NorG
HNHBCBPK_00676	CDS	813	pdxK_1	2.7.1.35	COG0351	Pyridoxine kinase
HNHBCBPK_00677	CDS	549				hypothetical protein
HNHBCBPK_00678	CDS	1134	argD	2.6.1.11	COG4992	Acetylornithine aminotransferase
HNHBCBPK_00679	CDS	1053	argC	1.2.1.38		N-acetyl-gamma-glutamyl-phosphate reductase
HNHBCBPK_00680	CDS	1194	argJ		COG1364	Arginine biosynthesis bifunctional protein ArgJ
HNHBCBPK_00681	CDS	738	argB	2.7.2.8	COG0548	Acetylglutamate kinase
HNHBCBPK_00682	CDS	1008	arcB	2.1.3.3		Ornithine carbamoyltransferase, catabolic
HNHBCBPK_00683	CDS	1305				hypothetical protein
HNHBCBPK_00684	CDS	732	agrA_1		COG3279	Accessory gene regulator protein A
HNHBCBPK_00685	CDS	1128	yqeH		COG1161	putative protein YqeH
HNHBCBPK_00686	CDS	309			COG1534	RNA-binding protein
HNHBCBPK_00687	CDS	603	nadD_1	2.7.7.18	COG1057	Nicotinate-nucleotide adenylyltransferase
HNHBCBPK_00688	CDS	591				hypothetical protein
HNHBCBPK_00689	CDS	1032				hypothetical protein
HNHBCBPK_00690	CDS	360	rsfS		COG0799	Ribosomal silencing factor RsfS
HNHBCBPK_00691	CDS	738		2.1.1.156		Glycine/sarcosine N-methyltransferase
HNHBCBPK_00692	CDS	1134	tmcAL	6.3.4.-	COG1323	tRNA(Met) cytidine acetate ligase
HNHBCBPK_00693	CDS	639				hypothetical protein
HNHBCBPK_00694	CDS	714	yeeN		COG0217	putative transcriptional regulatory protein YeeN
HNHBCBPK_00695	CDS	621				hypothetical protein
HNHBCBPK_00696	CDS	1971	treP	2.4.1.64		Alpha,alpha-trehalose phosphorylase
HNHBCBPK_00697	CDS	840	malG		COG3833	Maltose/maltodextrin transport system permease protein MalG
HNHBCBPK_00698	CDS	1356				hypothetical protein
HNHBCBPK_00699	CDS	1263	cycB		COG2182	Cyclodextrin-binding protein
HNHBCBPK_00700	CDS	1251	yknX_1		COG0845	Putative efflux system component YknX
HNHBCBPK_00701	CDS	705	yknY_1	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
HNHBCBPK_00702	CDS	1233	macB_1	3.6.3.-	COG0577	Macrolide export ATP-binding/permease protein MacB
HNHBCBPK_00703	CDS	1851	pox5	1.2.3.3	COG0028	Pyruvate oxidase
HNHBCBPK_00704	CDS	1176	ydhP		COG2814	Inner membrane transport protein YdhP
HNHBCBPK_00705	CDS	360	ytcD		COG1733	putative HTH-type transcriptional regulator YtcD
HNHBCBPK_00706	CDS	177	rpsU		COG0828	30S ribosomal protein S21
HNHBCBPK_00707	CDS	741				hypothetical protein
HNHBCBPK_00708	CDS	1692	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
HNHBCBPK_00709	CDS	1218	arcA	3.5.3.6	COG2235	Arginine deiminase
HNHBCBPK_00710	CDS	495	argR_2		COG1438	Arginine repressor
HNHBCBPK_00711	CDS	381				hypothetical protein
HNHBCBPK_00712	CDS	2589	mutS		COG0249	DNA mismatch repair protein MutS
HNHBCBPK_00713	CDS	930				hypothetical protein
HNHBCBPK_00714	CDS	393				hypothetical protein
HNHBCBPK_00715	CDS	396				hypothetical protein
HNHBCBPK_00716	CDS	393				hypothetical protein
HNHBCBPK_00717	CDS	2019	mutL		COG0323	DNA mismatch repair protein MutL
HNHBCBPK_00718	CDS	585	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
